Arquivo,Tamanho (KB),Data Modificação
TG024_24016_66266_01007_024_20251109001637_91.13.BIN,10.12,09/11/2025 00:18
TG132_300229_67002_00928_132_20251109000417_91.13.BIN,36.28,09/11/2025 00:04
TG132_300235_66131_01110_132_20251109000640_91.13.BIN,47.96,09/11/2025 00:08
TG132_300248_66699_00110_132_20251109000322_91.13.BIN,18.46,09/11/2025 00:04
TG132_300277_67060_01197_132_20251109002309_91.13.BIN,23.71,09/11/2025 00:25
TG012_12002_66221_01257_012_20251109141735_91.13.BIN,38.80,09/11/2025 20:26
TG012_12002_66221_01258_012_20251109200951_91.13.BIN,30.54,09/11/2025 20:26
TG012_12005_66701_01112_012_20251109132246_91.13.BIN,42.88,09/11/2025 13:23
TG012_12005_66701_01113_012_20251109203847_91.13.BIN,14.25,09/11/2025 20:39
TG012_12083_66253_00124_012_20251109131003_91.13.BIN,22.93,10/11/2025 00:22
TG012_12084_66232_00799_012_20251109133154_91.13.BIN,35.75,09/11/2025 13:32
TG012_12086_66729_01064_012_20251109131848_91.13.BIN,29.98,09/11/2025 20:49
TG012_12086_66729_01065_012_20251109205219_91.13.BIN,42.03,09/11/2025 20:49
TG012_12088_66176_00990_012_20251109090807_91.13.BIN,8.93,09/11/2025 09:08
TG012_12092_66669_00922_012_20251109125419_91.13.BIN,36.70,09/11/2025 21:11
TG012_12092_66669_00923_012_20251109211347_91.13.BIN,19.15,09/11/2025 21:11
TG012_12093_67628_00714_012_20251109110053_91.13.BIN,13.03,09/11/2025 11:01
TG024_24011_66673_00878_024_20251109123053_91.13.BIN,24.64,09/11/2025 21:20
TG024_24011_66673_00879_024_20251109212157_91.13.BIN,17.82,09/11/2025 21:20
TG132_293424_66377_01056_132_20251109142133_91.13.BIN,28.72,09/11/2025 14:21
TG132_293424_66377_01057_132_20251109213823_91.13.BIN,23.00,09/11/2025 21:43
TG132_300201_67121_01001_132_20251109130642_91.13.BIN,30.28,09/11/2025 13:06
TG132_300202_66109_01126_132_20251109163637_91.13.BIN,33.10,09/11/2025 16:36
TG132_300203_67276_01146_132_20251109135405_91.13.BIN,29.22,09/11/2025 21:07
TG132_300203_67276_01147_132_20251109210954_91.13.BIN,17.94,09/11/2025 21:07
TG132_300205_66339_01103_132_20251109094927_91.13.BIN,16.60,09/11/2025 09:49
TG132_300205_66339_01104_132_20251109122300_91.13.BIN,2.66,09/11/2025 12:23
TG132_300205_66339_01105_132_20251109122550_91.13.BIN,2.45,09/11/2025 12:26
TG132_300205_66339_01106_132_20251109220014_91.13.BIN,27.30,09/11/2025 22:05
TG132_300207_66887_01065_132_20251109113722_91.13.BIN,24.91,09/11/2025 20:38
TG132_300207_66887_01066_132_20251109202635_91.13.BIN,55.12,09/11/2025 20:39
TG132_300208_66684_00969_132_20251109055843_91.13.BIN,13.50,09/11/2025 05:58
TG132_300213_66895_00821_132_20251109072644_91.13.BIN,8.70,09/11/2025 07:27
TG132_300214_66137_01085_132_20251109140642_91.13.BIN,30.81,09/11/2025 14:08
TG132_300219_66700_00966_132_20251109134014_91.13.BIN,18.33,09/11/2025 13:40
TG132_300220_66160_00963_132_20251109140115_91.13.BIN,21.78,09/11/2025 23:02
TG132_300220_66160_00964_132_20251109230328_91.13.BIN,15.59,09/11/2025 23:02
TG132_300228_66189_00893_132_20251109125341_91.13.BIN,14.23,09/11/2025 21:22
TG132_300228_66189_00894_132_20251109212329_91.13.BIN,7.87,09/11/2025 21:22
TG132_300230_66448_00972_132_20251109131841_91.13.BIN,55.76,09/11/2025 21:55
