Arquivo,Tamanho (KB),Data Modificação
TG024_24016_66266_01029_024_20251121002307_91.13.BIN,24.37,21/11/2025 00:26
TG132_300258_67015_00752_132_20251121001441_91.13.BIN,25.75,21/11/2025 00:14
TG132_300277_67060_01218_132_20251121002034_91.13.BIN,21.35,21/11/2025 00:21
TG012_12001_67461_01007_012_20251121134934_91.13.BIN,47.55,21/11/2025 13:48
TG012_12001_67461_01008_012_20251121225112_91.13.BIN,31.51,21/11/2025 22:51
TG012_12002_66221_01278_012_20251121135311_91.13.BIN,58.42,21/11/2025 23:08
TG012_12002_66221_01279_012_20251121135721_91.13.BIN,2.29,21/11/2025 23:08
TG012_12002_66221_01280_012_20251121225011_91.13.BIN,62.40,21/11/2025 23:08
TG012_12003_67103_00746_012_20251121144009_91.13.BIN,32.75,21/11/2025 14:39
TG012_12005_66701_01129_012_20251121145817_91.13.BIN,51.79,21/11/2025 14:57
TG012_12081_66140_00789_012_20251121162002_91.13.BIN,58.22,21/11/2025 16:19
TG012_12083_66253_00142_012_20251121052125_91.13.BIN,9.97,21/11/2025 05:21
TG012_12084_66232_00819_012_20251121142114_91.13.BIN,51.25,21/11/2025 23:53
TG012_12084_66232_00820_012_20251121235406_91.13.BIN,47.46,21/11/2025 23:53
TG012_12086_66729_01085_012_20251121130904_91.13.BIN,40.85,21/11/2025 13:08
TG012_12087_66906_01068_012_20251121053106_91.13.BIN,3.90,21/11/2025 05:33
TG012_12088_66176_01002_012_20251121084756_91.13.BIN,30.82,21/11/2025 08:48
TG012_12089_66127_01050_012_20251121150051_91.13.BIN,42.39,21/11/2025 15:00
TG012_12090_66175_00896_012_20251121140035_91.13.BIN,56.15,21/11/2025 13:59
TG012_12091_67010_01144_012_20251121123906_91.13.BIN,43.06,21/11/2025 22:33
TG012_12091_67010_01145_012_20251121223416_91.13.BIN,42.00,21/11/2025 22:33
TG012_12092_66669_00945_012_20251121120525_91.13.BIN,34.32,21/11/2025 12:04
TG012_12093_67628_00726_012_20251121150035_91.13.BIN,51.82,21/11/2025 15:13
TG024_24004_66763_00655_024_20251121145028_91.13.BIN,20.86,21/11/2025 14:49
TG024_24011_66673_00893_024_20251121123626_91.13.BIN,35.89,21/11/2025 21:52
TG024_24011_66673_00894_024_20251121215325_91.13.BIN,24.81,21/11/2025 21:52
TG024_24016_66266_01030_024_20251121142041_91.13.BIN,34.62,21/11/2025 14:19
TG024_24016_66266_01031_024_20251121142047_91.13.BIN,1.61,22/11/2025 00:12
TG132_300201_67121_01012_132_20251121131126_91.13.BIN,47.15,21/11/2025 20:31
TG132_300201_67121_01013_132_20251121203048_91.13.BIN,39.97,21/11/2025 20:31
TG132_300202_66109_01144_132_20251121123622_91.13.BIN,47.37,21/11/2025 12:35
TG132_300202_66109_01145_132_20251121204045_91.13.BIN,52.04,21/11/2025 20:41
TG132_300203_67276_01166_132_20251121124318_91.13.BIN,44.98,21/11/2025 12:42
TG132_300204_66149_01341_132_20251121135307_91.13.BIN,70.62,21/11/2025 13:53
TG132_300205_66339_01119_132_20251121133151_91.13.BIN,29.02,21/11/2025 13:30
TG132_300206_66915_01301_132_20251121121546_91.13.BIN,82.97,21/11/2025 19:59
TG132_300206_66915_01302_132_20251121195953_91.13.BIN,81.45,21/11/2025 19:59
TG132_300208_66684_00994_132_20251121060349_91.13.BIN,10.48,21/11/2025 06:04
TG132_300212_67731_01246_132_20251121074526_91.13.BIN,11.99,21/11/2025 20:51
TG132_300212_67731_01247_132_20251121143012_91.13.BIN,32.88,21/11/2025 20:51
TG132_300212_67731_01248_132_20251121205233_91.13.BIN,26.43,21/11/2025 20:51
TG132_300213_66895_00826_132_20251121055548_91.13.BIN,8.70,21/11/2025 05:56
TG132_300218_66289_01323_132_20251121120102_91.13.BIN,24.45,21/11/2025 12:00
TG132_300219_66700_00977_132_20251121142331_91.13.BIN,34.21,21/11/2025 14:22
TG132_300220_66160_00984_132_20251121231112_91.13.BIN,31.84,21/11/2025 23:12
TG132_300223_66261_00676_132_20251121134034_91.13.BIN,38.62,21/11/2025 13:39
TG132_300224_66377_01067_132_20251121141603_91.13.BIN,57.88,21/11/2025 14:21
TG132_300225_66903_00245_132_20251121185628_91.13.BIN,6.56,21/11/2025 22:01
TG132_300225_66903_00246_132_20251121220134_91.13.BIN,7.79,21/11/2025 22:01
TG132_300226_66171_01095_132_20251121132551_91.13.BIN,34.28,21/11/2025 23:39
TG132_300226_66171_01096_132_20251121234026_91.13.BIN,26.38,21/11/2025 23:39
TG132_300228_66189_00918_132_20251121135717_91.13.BIN,47.96,21/11/2025 21:27
TG132_300228_66189_00919_132_20251121212805_91.13.BIN,20.45,21/11/2025 21:27
TG132_300229_67002_00941_132_20251121155323_91.13.BIN,66.96,22/11/2025 00:17
TG132_300230_66448_00994_132_20251121094608_91.13.BIN,25.75,21/11/2025 18:50
TG132_300230_66448_00995_132_20251121185110_91.13.BIN,53.26,21/11/2025 18:50
TG132_300231_67039_01094_132_20251121132846_91.13.BIN,74.61,21/11/2025 13:28
TG132_300231_67039_01095_132_20251121222001_91.13.BIN,51.92,21/11/2025 22:21
TG132_300232_66955_01009_132_20251121052133_91.13.BIN,3.18,21/11/2025 05:21
TG132_300234_66241_00862_132_20251121140131_91.13.BIN,45.65,21/11/2025 23:30
TG132_300234_66241_00863_132_20251121233138_91.13.BIN,53.92,21/11/2025 23:30
TG132_300235_66131_01133_132_20251121062905_91.13.BIN,3.39,21/11/2025 13:43
TG132_300235_66131_01134_132_20251121132804_91.13.BIN,56.19,21/11/2025 13:43
TG132_300235_66131_01135_132_20251121214838_91.13.BIN,50.00,21/11/2025 21:49
TG132_300237_66649_00940_132_20251121152744_91.13.BIN,27.93,21/11/2025 21:53
TG132_300237_66649_00941_132_20251121215412_91.13.BIN,41.65,21/11/2025 21:53
TG132_300238_66257_00934_132_20251121144126_91.13.BIN,64.65,21/11/2025 14:40
TG132_300239_66227_00785_132_20251121133219_91.13.BIN,61.12,21/11/2025 22:18
TG132_300239_66227_00786_132_20251121221943_91.13.BIN,68.97,21/11/2025 22:18
TG132_300240_66783_01156_132_20251121161203_91.13.BIN,93.71,21/11/2025 23:59
TG132_300240_66783_01157_132_20251121235946_91.13.BIN,44.99,21/11/2025 23:59
TG132_300242_66963_01307_132_20251121154118_91.13.BIN,62.41,21/11/2025 23:28
TG132_300242_66963_01308_132_20251121232850_91.13.BIN,55.25,21/11/2025 23:28
TG132_300243_66626_01334_132_20251121151152_91.13.BIN,66.25,21/11/2025 21:35
TG132_300243_66626_01335_132_20251121213625_91.13.BIN,46.31,21/11/2025 21:35
TG132_300244_67476_00730_132_20251121153207_91.13.BIN,54.40,21/11/2025 22:43
TG132_300244_67476_00731_132_20251121224113_91.13.BIN,28.27,21/11/2025 22:43
TG132_300245_67783_01287_132_20251121144326_91.13.BIN,30.45,21/11/2025 21:54
