Arquivo,Tamanho (KB),Data Modificação
TG012_12083_66253_00120_012_20251105002224_91.13.BIN,17.99,05/11/2025 00:23
TG132_300207_66887_01058_132_20251105000217_91.13.BIN,62.09,05/11/2025 00:03
TG132_300218_66289_01300_132_20251105001850_91.13.BIN,22.25,05/11/2025 00:19
TG132_300235_66131_01103_132_20251105000413_91.13.BIN,42.02,05/11/2025 00:05
TG132_300265_67414_00911_132_20251105005213_91.13.BIN,55.82,05/11/2025 00:53
TG132_300269_66644_01181_132_20251105000430_91.13.BIN,43.63,05/11/2025 00:05
TG132_300283_67632_01203_132_20251105002744_91.13.BIN,39.21,05/11/2025 00:28
TG132_300284_67108_01212_132_20251105001615_91.13.BIN,43.68,05/11/2025 00:17
TG012_12001_67461_00995_012_20251105210234_91.13.BIN,93.00,05/11/2025 21:04
TG012_12002_66221_01254_012_20251105150758_91.13.BIN,54.52,05/11/2025 16:32
TG012_12002_66221_01255_012_20251105163202_91.13.BIN,2.36,05/11/2025 16:32
TG012_12003_67103_00724_012_20251105204600_91.13.BIN,47.67,05/11/2025 20:47
TG012_12005_66701_01106_012_20251105095146_91.13.BIN,10.27,05/11/2025 09:52
TG012_12005_66701_01107_012_20251105150124_91.13.BIN,21.66,06/11/2025 00:23
TG012_12080_66877_00303_012_20251105125840_91.13.BIN,50.40,05/11/2025 22:54
TG012_12080_66877_00304_012_20251105225306_91.13.BIN,47.64,05/11/2025 22:54
TG012_12081_66140_00772_012_20251105192813_91.13.BIN,53.04,05/11/2025 19:29
TG012_12083_66253_00121_012_20251105072942_91.13.BIN,21.75,05/11/2025 07:30
TG012_12084_66232_00791_012_20251105143439_91.13.BIN,50.10,05/11/2025 23:46
TG012_12084_66232_00792_012_20251105234634_91.13.BIN,44.95,05/11/2025 23:46
TG012_12086_66729_01055_012_20251105071553_91.13.BIN,16.94,05/11/2025 07:16
TG012_12086_66729_01056_012_20251105091547_91.13.BIN,9.10,05/11/2025 18:12
TG012_12086_66729_01057_012_20251105181052_91.13.BIN,32.23,05/11/2025 18:12
TG012_12087_66906_01041_012_20251105140424_91.13.BIN,55.14,05/11/2025 19:16
TG012_12087_66906_01042_012_20251105191520_91.13.BIN,54.42,05/11/2025 19:16
TG012_12088_66176_00985_012_20251105182629_91.13.BIN,54.45,05/11/2025 18:27
TG012_12089_66353_00797_012_20251105192818_91.13.BIN,62.52,05/11/2025 19:29
TG012_12090_66175_00879_012_20251105180550_91.13.BIN,84.64,05/11/2025 18:06
TG012_12091_67010_01128_012_20251105180636_91.13.BIN,60.99,05/11/2025 18:07
TG012_12092_66669_00914_012_20251105133255_91.13.BIN,87.70,05/11/2025 13:45
TG012_12092_66669_00915_012_20251105224609_91.13.BIN,48.20,05/11/2025 22:47
TG024_24004_66763_00637_024_20251105184913_91.13.BIN,44.17,05/11/2025 18:50
TG024_24011_66673_00869_024_20251105140406_91.13.BIN,42.75,05/11/2025 21:38
TG024_24011_66673_00870_024_20251105213718_91.13.BIN,19.02,05/11/2025 21:38
TG024_24016_66266_00999_024_20251105130240_91.13.BIN,38.08,05/11/2025 20:05
TG024_24016_66266_01000_024_20251105200334_91.13.BIN,15.44,05/11/2025 20:05
TG132_300201_67121_00996_132_20251105205457_91.13.BIN,75.00,05/11/2025 20:56
TG132_300202_66109_01121_132_20251105113332_91.13.BIN,45.93,05/11/2025 20:09
TG132_300202_66109_01122_132_20251105200803_91.13.BIN,51.05,05/11/2025 20:09
TG132_300203_67276_01140_132_20251105183835_91.13.BIN,67.97,05/11/2025 18:39
TG132_300204_66149_01311_132_20251105124559_91.13.BIN,97.48,05/11/2025 23:01
TG132_300204_66149_01312_132_20251105230104_91.13.BIN,75.27,05/11/2025 23:01
TG132_300205_66339_01099_132_20251105190557_91.13.BIN,91.09,05/11/2025 19:07
TG132_300206_66915_01274_132_20251105170653_91.13.BIN,84.50,05/11/2025 17:07
TG132_300207_66887_01059_132_20251105210021_91.13.BIN,117.40,05/11/2025 21:01
