Arquivo,Tamanho (KB),Data Modificação
TG012_12002_66221_01298_012_20251202002117_91.13.BIN,48.16,02/12/2025 00:19
TG012_12083_66253_00161_012_20251202001948_91.13.BIN,25.75,02/12/2025 00:17
TG132_300206_66915_01319_132_20251202002152_91.13.BIN,6.51,02/12/2025 00:21
TG132_300225_66903_00264_132_20251202001605_91.13.BIN,28.27,02/12/2025 00:14
TG132_300235_66131_01153_132_20251202000225_91.13.BIN,54.25,02/12/2025 00:00
TG132_300269_66644_01229_132_20251202000025_91.13.BIN,36.96,02/12/2025 00:05
TG132_300284_67108_01259_132_20251202001940_91.13.BIN,45.64,02/12/2025 00:17
TG012_12001_67461_01020_012_20251202203135_91.13.BIN,82.32,02/12/2025 20:33
TG012_12002_66221_01299_012_20251202133404_91.13.BIN,23.66,03/12/2025 00:06
TG012_12002_66221_01300_012_20251202235158_91.13.BIN,44.27,03/12/2025 00:06
TG012_12003_67103_00762_012_20251202132636_91.13.BIN,8.18,02/12/2025 13:28
TG012_12005_66701_01140_012_20251202192312_91.13.BIN,60.50,02/12/2025 19:25
TG012_12080_66877_00349_012_20251202130515_91.13.BIN,50.90,02/12/2025 22:49
TG012_12080_66877_00350_012_20251202130707_91.13.BIN,1.73,02/12/2025 22:49
TG012_12080_66877_00351_012_20251202224747_91.13.BIN,58.12,02/12/2025 22:49
TG012_12081_66140_00800_012_20251202173107_91.13.BIN,80.69,02/12/2025 18:06
TG012_12083_66253_00162_012_20251202145949_91.13.BIN,55.03,03/12/2025 00:19
TG012_12084_66232_00837_012_20251202143123_91.13.BIN,64.74,02/12/2025 23:51
TG012_12084_66232_00838_012_20251202235028_91.13.BIN,49.68,02/12/2025 23:51
TG012_12086_66729_01099_012_20251202071355_91.13.BIN,17.35,02/12/2025 18:42
TG012_12086_66729_01100_012_20251202184025_91.13.BIN,52.58,02/12/2025 18:42
TG012_12088_66176_01013_012_20251202132200_91.13.BIN,20.27,02/12/2025 20:31
TG012_12088_66176_01014_012_20251202202900_91.13.BIN,32.17,02/12/2025 20:31
TG012_12089_66127_01062_012_20251202194944_91.13.BIN,56.99,02/12/2025 19:52
TG012_12090_66175_00911_012_20251202181031_91.13.BIN,102.61,02/12/2025 18:13
TG012_12091_67010_01157_012_20251202171126_91.13.BIN,66.28,02/12/2025 17:13
TG012_12092_66669_00961_012_20251202120326_91.13.BIN,40.94,02/12/2025 12:04
TG012_12092_66669_00962_012_20251202224903_91.13.BIN,34.31,02/12/2025 22:49
TG012_12093_67628_00730_012_20251202192755_91.13.BIN,97.52,02/12/2025 19:30
TG012_12095_67089_00671_012_20251202190623_91.13.BIN,82.84,02/12/2025 19:08
TG024_24004_66763_00664_024_20251202143638_91.13.BIN,35.62,02/12/2025 14:39
TG024_24004_66763_00665_024_20251202194020_91.13.BIN,25.66,02/12/2025 19:41
TG024_24011_66673_00909_024_20251202120719_91.13.BIN,24.43,02/12/2025 12:08
TG024_24011_66673_00910_024_20251202214121_91.13.BIN,17.32,02/12/2025 21:41
TG024_24016_66266_01049_024_20251202133917_91.13.BIN,46.66,02/12/2025 20:00
TG024_24016_66266_01050_024_20251202195801_91.13.BIN,22.25,02/12/2025 20:00
TG132_300201_67121_01025_132_20251202204802_91.13.BIN,84.51,02/12/2025 20:51
TG132_300202_66109_01159_132_20251202192600_91.13.BIN,79.54,02/12/2025 19:28
TG132_300203_67276_01187_132_20251202095340_91.13.BIN,24.83,02/12/2025 10:08
TG132_300203_67276_01188_132_20251202191925_91.13.BIN,28.67,02/12/2025 19:20
TG132_300204_66149_01357_132_20251202142110_91.13.BIN,74.94,02/12/2025 20:38
TG132_300204_66149_01358_132_20251202203642_91.13.BIN,46.93,02/12/2025 20:38
TG132_300205_66339_01132_132_20251202183546_91.13.BIN,83.42,02/12/2025 18:38
TG132_300205_66339_01133_132_20251202222625_91.13.BIN,5.57,02/12/2025 22:25
TG132_300206_66915_01320_132_20251202125328_91.13.BIN,99.56,02/12/2025 20:07
TG132_300206_66915_01321_132_20251202200533_91.13.BIN,59.06,02/12/2025 20:07
TG132_300207_66887_01093_132_20251202143042_91.13.BIN,63.69,03/12/2025 00:03
TG132_300212_67731_01263_132_20251202114706_91.13.BIN,31.59,02/12/2025 23:15
TG132_300212_67731_01264_132_20251202162230_91.13.BIN,22.88,02/12/2025 23:15
TG132_300212_67731_01265_132_20251202230457_91.13.BIN,18.23,02/12/2025 23:15
TG132_300213_66895_00837_132_20251202133311_91.13.BIN,54.60,02/12/2025 13:34
TG132_300214_66137_01125_132_20251202135005_91.13.BIN,47.37,02/12/2025 20:46
TG132_300214_66137_01126_132_20251202204246_91.13.BIN,32.11,02/12/2025 20:46
TG132_300215_67515_00972_132_20251202111903_91.13.BIN,23.12,02/12/2025 19:17
TG132_300215_67515_00973_132_20251202191535_91.13.BIN,20.40,02/12/2025 19:17
TG132_300216_66773_00847_132_20251202041030_91.13.BIN,8.56,02/12/2025 04:10
TG132_300216_66773_00848_132_20251202133707_91.13.BIN,58.55,02/12/2025 22:55
TG132_300216_66773_00849_132_20251202225405_91.13.BIN,36.56,02/12/2025 22:55
TG132_300218_66289_01338_132_20251202151856_91.13.BIN,45.90,03/12/2025 00:17
TG132_300219_66700_00986_132_20251202185650_91.13.BIN,43.36,02/12/2025 18:59
TG132_300220_66160_01001_132_20251202140011_91.13.BIN,43.77,02/12/2025 22:55
TG132_300220_66160_01002_132_20251202225422_91.13.BIN,33.91,02/12/2025 22:55
TG132_300221_66630_01092_132_20251202130857_91.13.BIN,39.63,02/12/2025 13:46
TG132_300221_66630_01093_132_20251202164244_91.13.BIN,8.21,02/12/2025 16:43
TG132_300223_66261_00695_132_20251202190654_91.13.BIN,63.23,02/12/2025 19:10
TG132_300224_66377_01081_132_20251202134559_91.13.BIN,39.75,02/12/2025 13:47
TG132_300225_66903_00265_132_20251202191409_91.13.BIN,56.77,02/12/2025 19:16
TG132_300226_66171_01116_132_20251202151611_91.13.BIN,44.64,02/12/2025 23:37
