Arquivo,Tamanho (KB),Data Modificação
TG012_12002_66149_01392_012_20260114000053_91.13.BIN,45.78,14/01/2026 00:03
TG012_12089_66644_01271_012_20260114003302_91.13.BIN,28.35,14/01/2026 00:33
TG132_300232_66955_01070_132_20260114000339_91.13.BIN,53.82,14/01/2026 00:05
TG132_300268_67902_01182_132_20260114000910_91.13.BIN,2.78,14/01/2026 00:09
TG132_300283_66107_00927_132_20260114001540_91.13.BIN,60.81,14/01/2026 00:17
TG012_12001_67461_01077_012_20260114201627_91.13.BIN,82.96,14/01/2026 20:16
TG012_12002_66149_01393_012_20260114151017_91.13.BIN,49.63,15/01/2026 00:22
TG012_12005_66701_01191_012_20260114181142_91.13.BIN,65.77,14/01/2026 18:13
TG012_12080_66877_00413_012_20260114125541_91.13.BIN,45.80,14/01/2026 22:55
TG012_12080_66877_00414_012_20260114224859_91.13.BIN,60.50,14/01/2026 22:55
TG012_12081_66140_00843_012_20260114181833_91.13.BIN,66.41,14/01/2026 18:18
TG012_12084_66232_00912_012_20260114142737_91.13.BIN,51.93,14/01/2026 23:36
TG012_12084_66232_00913_012_20260114233745_91.13.BIN,39.33,14/01/2026 23:36
TG012_12086_66729_01160_012_20260114184853_91.13.BIN,50.26,14/01/2026 18:50
TG012_12087_66906_01117_012_20260114055113_91.13.BIN,5.37,14/01/2026 05:53
TG012_12087_66906_01118_012_20260114062422_91.13.BIN,2.82,14/01/2026 06:24
TG012_12087_66906_01119_012_20260114135249_91.13.BIN,25.70,14/01/2026 13:53
TG012_12089_66644_01272_012_20260114111141_91.13.BIN,32.21,15/01/2026 00:25
TG012_12090_67104_00750_012_20260114182415_91.13.BIN,46.47,14/01/2026 18:24
TG012_12091_67010_01208_012_20260114120455_91.13.BIN,29.19,14/01/2026 12:03
TG012_12092_66669_01038_012_20260114130945_91.13.BIN,54.79,15/01/2026 01:25
TG012_12093_67628_00780_012_20260114135524_91.13.BIN,42.52,14/01/2026 22:27
TG012_12093_67628_00781_012_20260114221606_91.13.BIN,34.84,14/01/2026 22:27
TG012_12095_67089_00711_012_20260114181942_91.13.BIN,34.66,14/01/2026 18:20
TG024_24011_66289_01386_024_20260114140110_91.13.BIN,27.20,14/01/2026 21:47
TG024_24011_66289_01387_024_20260114214842_91.13.BIN,18.43,14/01/2026 21:47
TG024_24016_66266_01112_024_20260114121436_91.13.BIN,36.39,14/01/2026 20:00
TG024_24016_66266_01113_024_20260114121550_91.13.BIN,1.78,14/01/2026 20:00
TG024_24016_66266_01114_024_20260114200017_91.13.BIN,23.17,14/01/2026 20:00
TG132_300201_67121_01079_132_20260114201305_91.13.BIN,50.38,14/01/2026 20:13
TG132_300202_66109_01216_132_20260114175619_91.13.BIN,54.98,14/01/2026 17:57
TG132_300203_66448_01048_132_20260114132042_91.13.BIN,34.68,14/01/2026 20:39
TG132_300203_66448_01049_132_20260114140917_91.13.BIN,1.61,14/01/2026 20:39
TG132_300203_66448_01050_132_20260114203809_91.13.BIN,33.33,14/01/2026 20:39
TG132_300204_67414_00976_132_20260114141416_91.13.BIN,48.72,14/01/2026 21:19
TG132_300204_67414_00977_132_20260114211916_91.13.BIN,47.33,14/01/2026 21:19
TG132_300204_67414_00978_132_20260114212628_91.13.BIN,2.51,14/01/2026 21:26
TG132_300205_66339_01195_132_20260114183844_91.13.BIN,68.42,14/01/2026 19:00
TG132_300206_66915_01401_132_20260114104654_91.13.BIN,66.30,14/01/2026 19:48
TG132_300206_66915_01402_132_20260114194829_91.13.BIN,69.21,14/01/2026 19:48
TG132_300207_66887_01158_132_20260114201022_91.13.BIN,99.88,14/01/2026 20:10
TG132_300212_67731_01334_132_20260114162359_91.13.BIN,36.86,14/01/2026 19:20
TG132_300212_67731_01335_132_20260114191816_91.13.BIN,14.07,14/01/2026 19:20
TG132_300213_66788_00816_132_20260114131325_91.13.BIN,41.86,14/01/2026 13:18
TG132_300214_66137_01193_132_20260114053016_91.13.BIN,5.01,14/01/2026 05:30
TG132_300215_66221_01344_132_20260114130511_91.13.BIN,26.57,14/01/2026 19:39
TG132_300215_66221_01345_132_20260114193844_91.13.BIN,15.72,14/01/2026 19:39
TG132_300216_66773_00932_132_20260114133038_91.13.BIN,44.28,14/01/2026 22:42
TG132_300216_66773_00933_132_20260114224345_91.13.BIN,31.08,14/01/2026 22:42
TG132_300218_66567_01086_132_20260114105049_91.13.BIN,6.17,14/01/2026 10:51
TG132_300219_66700_01025_132_20260114135022_91.13.BIN,33.41,14/01/2026 21:36
TG132_300219_66700_01026_132_20260114213449_91.13.BIN,22.07,14/01/2026 21:36
TG132_300220_66160_01073_132_20260114141500_91.13.BIN,36.12,14/01/2026 23:06
TG132_300220_66160_01074_132_20260114230808_91.13.BIN,23.92,14/01/2026 23:06
TG132_300221_67632_01288_132_20260114061716_91.13.BIN,3.34,14/01/2026 06:17
TG132_300221_67632_01289_132_20260114225155_91.13.BIN,11.16,14/01/2026 22:52
TG132_300223_66261_00751_132_20260114191037_91.13.BIN,52.06,14/01/2026 19:12
TG132_300224_66377_01125_132_20260114133057_91.13.BIN,37.79,14/01/2026 13:29
TG132_300225_66903_00322_132_20260114152250_91.13.BIN,35.53,14/01/2026 19:42
TG132_300225_66903_00323_132_20260114194245_91.13.BIN,12.49,14/01/2026 19:42
TG132_300226_66171_01177_132_20260114132310_91.13.BIN,28.61,14/01/2026 23:37
TG132_300226_66171_01178_132_20260114233731_91.13.BIN,21.72,14/01/2026 23:37
TG132_300227_66861_00721_132_20260114074219_91.13.BIN,16.42,14/01/2026 07:42
TG132_300229_67002_00994_132_20260114145424_91.13.BIN,26.25,14/01/2026 14:55
TG132_300229_67515_01029_132_20260114190040_91.13.BIN,14.70,14/01/2026 19:02
TG132_300230_67103_00815_132_20260114142027_91.13.BIN,39.03,14/01/2026 21:28
TG132_300230_67103_00816_132_20260114212631_91.13.BIN,52.88,14/01/2026 21:28
TG132_300231_67039_01191_132_20260114141359_91.13.BIN,63.51,14/01/2026 23:10
TG132_300231_67039_01192_132_20260114230947_91.13.BIN,34.86,14/01/2026 23:10
TG132_300232_66955_01071_132_20260114121044_91.13.BIN,31.27,14/01/2026 12:42
TG132_300233_67656_00918_132_20260114201726_91.13.BIN,79.53,14/01/2026 20:18
TG132_300234_66526_00458_132_20260114093829_91.13.BIN,26.15,14/01/2026 09:40
TG132_300234_66526_00459_132_20260114185553_91.13.BIN,35.52,14/01/2026 18:57
TG132_300235_66131_01232_132_20260114134249_91.13.BIN,36.40,14/01/2026 23:55
TG132_300235_66131_01233_132_20260114235533_91.13.BIN,45.28,14/01/2026 23:55
TG132_300236_66754_01107_132_20260114124722_91.13.BIN,53.38,14/01/2026 20:40
TG132_300236_66754_01108_132_20260114204047_91.13.BIN,34.65,14/01/2026 20:40
TG132_300237_66649_01027_132_20260114152700_91.13.BIN,54.50,14/01/2026 23:22
TG132_300237_66649_01028_132_20260114232210_91.13.BIN,72.72,14/01/2026 23:22
TG132_300238_66257_00986_132_20260114150139_91.13.BIN,54.60,14/01/2026 18:49
TG132_300238_66257_00987_132_20260114184936_91.13.BIN,32.86,14/01/2026 18:49
TG132_300239_66227_00876_132_20260114145233_91.13.BIN,59.00,14/01/2026 23:18
TG132_300239_66227_00877_132_20260114231825_91.13.BIN,51.33,14/01/2026 23:18
TG132_300240_66783_01256_132_20260114143035_91.13.BIN,66.54,14/01/2026 23:24
TG132_300240_66783_01257_132_20260114232611_91.13.BIN,51.29,14/01/2026 23:24
TG132_300241_68275_00941_132_20260114183045_91.13.BIN,55.90,14/01/2026 18:32
TG132_300242_66963_01394_132_20260114135318_91.13.BIN,45.86,14/01/2026 21:08
TG132_300242_66963_01395_132_20260114210646_91.13.BIN,30.00,14/01/2026 21:08
TG132_300243_66626_01428_132_20260114123453_91.13.BIN,45.20,14/01/2026 21:16
TG132_300243_66626_01429_132_20260114211515_91.13.BIN,48.56,14/01/2026 21:16
TG132_300244_67476_00829_132_20260114135243_91.13.BIN,41.12,14/01/2026 22:10
TG132_300244_67476_00830_132_20260114221142_91.13.BIN,45.59,14/01/2026 22:10
TG132_300245_66353_00118_132_20260114123536_91.13.BIN,35.25,14/01/2026 22:29
TG132_300245_66353_00119_132_20260114223024_91.13.BIN,24.20,14/01/2026 22:29
TG132_300246_66893_00951_132_20260114093305_91.13.BIN,13.39,14/01/2026 09:33
TG132_300246_66893_00952_132_20260114173652_91.13.BIN,18.68,14/01/2026 17:38
TG132_300247_66276_00986_132_20260114081354_91.13.BIN,7.27,14/01/2026 08:27
TG132_300247_66276_00987_132_20260114152301_91.13.BIN,19.19,14/01/2026 23:45
TG132_300247_66276_00988_132_20260114234409_91.13.BIN,22.79,14/01/2026 23:45
TG132_300248_66699_00183_132_20260114152815_91.13.BIN,35.12,14/01/2026 15:27
TG132_300251_66901_01077_132_20260114135253_91.13.BIN,31.85,14/01/2026 22:19
TG132_300251_66901_01078_132_20260114221937_91.13.BIN,17.93,14/01/2026 22:19
TG132_300252_67140_00859_132_20260114113906_91.13.BIN,32.64,14/01/2026 11:37
TG132_300253_66127_01098_132_20260114130612_91.13.BIN,34.52,14/01/2026 21:12
TG132_300253_66127_01099_132_20260114211200_91.13.BIN,47.37,14/01/2026 21:12
TG132_300255_66283_01022_132_20260114051440_91.13.BIN,18.75,14/01/2026 05:14
