Arquivo,Tamanho (KB),Data Modificação
TG012_12002_66221_01293_012_20251129000249_91.13.BIN,42.77,29/11/2025 00:03
TG012_12083_66253_00155_012_20251129002149_91.13.BIN,27.01,29/11/2025 00:22
TG012_12095_67089_00667_012_20251129004512_91.13.BIN,52.81,29/11/2025 00:46
TG132_300218_66289_01336_132_20251129002104_91.13.BIN,24.51,29/11/2025 00:22
TG132_300232_66955_01020_132_20251129001935_91.13.BIN,44.38,29/11/2025 00:21
TG132_300241_68275_00867_132_20251129000621_91.13.BIN,70.35,29/11/2025 00:07
TG132_300269_66644_01223_132_20251129001517_91.13.BIN,28.31,29/11/2025 00:16
TG132_300283_67632_01247_132_20251129003005_91.13.BIN,42.04,29/11/2025 00:31
TG012_12001_67461_01017_012_20251129141537_91.13.BIN,66.99,29/11/2025 14:15
TG012_12002_66221_01294_012_20251129194509_91.13.BIN,24.17,29/11/2025 19:46
TG012_12003_67103_00758_012_20251129140119_91.13.BIN,31.32,29/11/2025 21:56
TG012_12003_67103_00759_012_20251129215617_91.13.BIN,16.85,29/11/2025 21:56
TG012_12005_66701_01137_012_20251129133021_91.13.BIN,35.11,29/11/2025 13:29
TG012_12080_66877_00342_012_20251129132209_91.13.BIN,60.67,29/11/2025 22:23
TG012_12080_66877_00343_012_20251129222341_91.13.BIN,34.74,29/11/2025 22:23
TG012_12081_66140_00798_012_20251129145047_91.13.BIN,31.03,29/11/2025 14:51
TG012_12083_66253_00156_012_20251129150011_91.13.BIN,46.08,30/11/2025 00:21
TG012_12084_66232_00833_012_20251129064424_91.13.BIN,2.98,29/11/2025 07:11
TG012_12088_66176_01010_012_20251129152031_91.13.BIN,26.60,29/11/2025 15:20
TG012_12089_66127_01060_012_20251129152536_91.13.BIN,43.23,29/11/2025 15:26
TG012_12090_66175_00907_012_20251129141242_91.13.BIN,43.15,29/11/2025 14:13
TG012_12091_67010_01154_012_20251129133525_91.13.BIN,40.10,29/11/2025 13:34
TG012_12091_67010_01155_012_20251129233025_91.13.BIN,19.98,29/11/2025 23:31
TG012_12092_66669_00957_012_20251129133118_91.13.BIN,57.44,29/11/2025 22:39
TG012_12092_66669_00958_012_20251129223754_91.13.BIN,25.03,29/11/2025 22:39
TG012_12095_67089_00668_012_20251129173340_91.13.BIN,64.81,29/11/2025 17:34
TG024_24004_66763_00661_024_20251129150438_91.13.BIN,29.38,29/11/2025 15:05
TG024_24016_66266_01046_024_20251129133903_91.13.BIN,33.70,29/11/2025 13:38
TG132_300201_67121_01020_132_20251129184138_91.13.BIN,61.67,29/11/2025 18:42
TG132_300202_66109_01156_132_20251129145504_91.13.BIN,41.19,29/11/2025 22:49
TG132_300202_66109_01157_132_20251129224730_91.13.BIN,36.81,29/11/2025 22:49
TG132_300203_67276_01181_132_20251129141557_91.13.BIN,46.83,29/11/2025 21:49
TG132_300203_67276_01182_132_20251129213715_91.13.BIN,31.72,29/11/2025 21:49
TG132_300205_66339_01128_132_20251129130728_91.13.BIN,44.66,29/11/2025 13:08
TG132_300205_66339_01129_132_20251129232802_91.13.BIN,30.65,29/11/2025 23:31
TG132_300206_66915_01315_132_20251129122331_91.13.BIN,79.62,29/11/2025 19:33
TG132_300206_66915_01316_132_20251129193325_91.13.BIN,61.29,29/11/2025 19:33
TG132_300208_66684_01007_132_20251129060320_91.13.BIN,10.33,29/11/2025 06:02
TG132_300212_67731_01259_132_20251129130131_91.13.BIN,26.70,29/11/2025 20:35
TG132_300212_67731_01260_132_20251129203404_91.13.BIN,16.27,29/11/2025 20:35
TG132_300213_66895_00834_132_20251129114519_91.13.BIN,33.43,29/11/2025 11:50
TG132_300214_66137_01121_132_20251129135235_91.13.BIN,41.82,29/11/2025 21:12
TG132_300214_66137_01122_132_20251129211150_91.13.BIN,16.90,29/11/2025 21:12
TG132_300215_67515_00969_132_20251129212221_91.13.BIN,10.92,29/11/2025 21:23
TG132_300220_66160_00997_132_20251129140226_91.13.BIN,39.73,29/11/2025 23:11
TG132_300220_66160_00998_132_20251129230928_91.13.BIN,23.41,29/11/2025 23:11
