Arquivo,Tamanho (KB),Data Modificação
TG012_12003_67797_00809_012_20260228001225_91.13.BIN,34.18,28/02/2026 00:12
TG012_12083_67580_01391_012_20260228002339_91.13.BIN,21.93,28/02/2026 00:25
TG132_300241_68275_00997_132_20260228000155_91.13.BIN,48.27,28/02/2026 00:02
TG132_300264_67036_01358_132_20260228002317_91.13.BIN,20.10,28/02/2026 00:28
TG132_300283_66906_01173_132_20260228002417_91.13.BIN,71.66,28/02/2026 00:28
TG132_300284_67108_01385_132_20260228001045_91.13.BIN,36.33,28/02/2026 00:11
TG012_12001_67461_01129_012_20260228142927_91.13.BIN,49.47,28/02/2026 14:29
TG012_12003_67797_00810_012_20260228141921_91.13.BIN,52.51,28/02/2026 20:37
TG012_12003_67797_00811_012_20260228203711_91.13.BIN,33.54,28/02/2026 20:37
TG012_12005_66701_01244_012_20260228102042_91.13.BIN,46.40,28/02/2026 10:20
TG012_12080_67662_00932_012_20260228115313_91.13.BIN,31.86,28/02/2026 11:56
TG012_12080_67662_00933_012_20260228223735_91.13.BIN,29.23,28/02/2026 22:37
TG012_12081_66140_00879_012_20260228151752_91.13.BIN,26.80,28/02/2026 15:19
TG012_12083_67580_01392_012_20260228131905_91.13.BIN,31.71,28/02/2026 13:19
TG012_12084_66232_00985_012_20260228133911_91.13.BIN,50.73,28/02/2026 22:22
TG012_12084_66232_00986_012_20260228222242_91.13.BIN,21.03,28/02/2026 22:22
TG012_12086_66729_01221_012_20260228141020_91.13.BIN,33.79,28/02/2026 23:30
TG012_12086_66729_01222_012_20260228233043_91.13.BIN,26.54,28/02/2026 23:30
TG012_12089_66644_01338_012_20260228162620_91.13.BIN,35.42,28/02/2026 16:40
TG012_12091_67010_01276_012_20260228151044_91.13.BIN,40.52,28/02/2026 15:35
TG012_12093_66629_00569_012_20260228141911_91.13.BIN,29.57,28/02/2026 14:19
TG012_12095_67089_00747_012_20260228144418_91.13.BIN,43.99,28/02/2026 14:44
TG024_24011_66289_01443_024_20260228135710_91.13.BIN,30.62,28/02/2026 21:44
TG024_24011_66289_01444_024_20260228214401_91.13.BIN,18.10,28/02/2026 21:44
TG024_24016_66266_01181_024_20260228134040_91.13.BIN,26.50,28/02/2026 13:40
TG132_300201_67121_01123_132_20260228143231_91.13.BIN,40.94,28/02/2026 14:33
TG132_300202_66109_01260_132_20260228174318_91.13.BIN,51.95,28/02/2026 17:43
TG132_300203_66448_01098_132_20260228150949_91.13.BIN,53.58,28/02/2026 15:10
TG132_300204_67414_01046_132_20260228122829_91.13.BIN,41.80,28/02/2026 19:53
TG132_300204_67414_01047_132_20260228195257_91.13.BIN,27.25,28/02/2026 19:53
TG132_300205_66107_00968_132_20260228145018_91.13.BIN,44.77,28/02/2026 20:26
TG132_300205_66107_00969_132_20260228201453_91.13.BIN,18.27,28/02/2026 20:26
TG132_300206_66915_01471_132_20260228162716_91.13.BIN,78.77,28/02/2026 22:55
TG132_300206_66915_01472_132_20260228225503_91.13.BIN,12.71,28/02/2026 22:55
TG132_300207_66887_01205_132_20260228144626_91.13.BIN,61.51,28/02/2026 22:50
TG132_300207_66887_01206_132_20260228225014_91.13.BIN,47.32,28/02/2026 22:50
TG132_300208_66684_01171_132_20260228061112_91.13.BIN,8.81,28/02/2026 06:11
TG132_300208_66684_01172_132_20260228142637_91.13.BIN,31.98,28/02/2026 14:30
TG132_300208_66684_01173_132_20260228215800_91.13.BIN,36.78,28/02/2026 21:58
TG132_300214_66137_01256_132_20260228140641_91.13.BIN,39.84,28/02/2026 20:11
TG132_300214_66137_01257_132_20260228201050_91.13.BIN,20.92,28/02/2026 20:11
TG132_300216_66773_01001_132_20260228082615_91.13.BIN,17.41,28/02/2026 08:26
TG132_300218_66567_01134_132_20260228114239_91.13.BIN,35.60,28/02/2026 11:43
TG132_300219_66175_00961_132_20260228134932_91.13.BIN,35.66,28/02/2026 14:07
TG132_300219_66175_00962_132_20260228230421_91.13.BIN,11.78,28/02/2026 23:07
TG132_300221_67632_01327_132_20260228223300_91.13.BIN,11.61,28/02/2026 22:35
TG132_300223_66261_00783_132_20260228062016_91.13.BIN,3.10,28/02/2026 12:17
TG132_300223_66261_00784_132_20260228062228_91.13.BIN,1.27,28/02/2026 12:17
TG132_300223_66261_00785_132_20260228062342_91.13.BIN,0.93,28/02/2026 12:17
TG132_300223_66261_00786_132_20260228121648_91.13.BIN,27.93,28/02/2026 12:17
TG132_300226_66171_01237_132_20260228132342_91.13.BIN,20.59,28/02/2026 23:53
TG132_300226_66171_01238_132_20260228234214_91.13.BIN,12.94,28/02/2026 23:53
TG132_300228_67002_01058_132_20260228134957_91.13.BIN,29.87,28/02/2026 21:24
TG132_300228_67002_01059_132_20260228212445_91.13.BIN,10.83,28/02/2026 21:24
TG132_300229_67515_01064_132_20260228070758_91.13.BIN,3.34,28/02/2026 07:08
TG132_300230_67103_00880_132_20260228145418_91.13.BIN,53.74,28/02/2026 21:58
TG132_300230_67103_00881_132_20260228215844_91.13.BIN,27.98,28/02/2026 21:58
TG132_300231_67039_01260_132_20260228140757_91.13.BIN,24.64,28/02/2026 14:08
TG132_300231_67039_01261_132_20260228224257_91.13.BIN,15.71,28/02/2026 22:43
TG132_300232_66955_01119_132_20260228154508_91.13.BIN,42.32,01/03/2026 00:03
TG132_300233_67656_00972_132_20260228142202_91.13.BIN,41.48,28/02/2026 19:59
TG132_300233_67656_00973_132_20260228195919_91.13.BIN,27.83,28/02/2026 19:59
TG132_300234_66526_00504_132_20260228160549_91.13.BIN,42.87,28/02/2026 16:06
TG132_300235_66131_01294_132_20260228234438_91.13.BIN,29.86,28/02/2026 23:45
TG132_300236_66754_01178_132_20260228131127_91.13.BIN,43.16,28/02/2026 20:38
TG132_300236_66754_01179_132_20260228203841_91.13.BIN,30.46,28/02/2026 20:38
TG132_300237_66649_01089_132_20260228134540_91.13.BIN,48.91,28/02/2026 21:18
TG132_300237_66649_01090_132_20260228211807_91.13.BIN,24.32,28/02/2026 21:18
TG132_300238_66257_01033_132_20260228132255_91.13.BIN,47.46,28/02/2026 23:12
TG132_300238_66257_01034_132_20260228231211_91.13.BIN,42.91,28/02/2026 23:12
TG132_300239_66227_00941_132_20260228143627_91.13.BIN,56.05,28/02/2026 23:21
TG132_300239_66227_00942_132_20260228232053_91.13.BIN,62.64,28/02/2026 23:21
TG132_300241_68275_00998_132_20260228120203_91.13.BIN,10.41,28/02/2026 19:17
TG132_300241_68275_00999_132_20260228191736_91.13.BIN,33.50,28/02/2026 19:17
TG132_300242_66963_01461_132_20260228152835_91.13.BIN,47.81,28/02/2026 22:38
TG132_300242_66963_01462_132_20260228223818_91.13.BIN,33.07,28/02/2026 22:38
TG132_300245_66353_00191_132_20260228134512_91.13.BIN,21.05,28/02/2026 22:01
TG132_300245_66353_00192_132_20260228220115_91.13.BIN,11.96,28/02/2026 22:01
TG132_300247_66276_01042_132_20260228214009_91.13.BIN,8.39,28/02/2026 21:40
TG132_300252_67140_00905_132_20260228135812_91.13.BIN,23.47,28/02/2026 15:53
TG132_300252_67140_00906_132_20260228155114_91.13.BIN,4.99,28/02/2026 15:53
TG132_300252_67140_00907_132_20260228155256_91.13.BIN,1.96,28/02/2026 15:53
TG132_300254_66305_01045_132_20260228132200_91.13.BIN,47.00,28/02/2026 22:25
TG132_300254_66305_01046_132_20260228222455_91.13.BIN,27.62,28/02/2026 22:25
TG132_300255_67384_00825_132_20260228141627_91.13.BIN,27.14,28/02/2026 20:20
TG132_300255_67384_00826_132_20260228202008_91.13.BIN,11.00,28/02/2026 20:20
TG132_300256_66896_01090_132_20260228144611_91.13.BIN,43.10,28/02/2026 22:57
TG132_300256_66896_01091_132_20260228225516_91.13.BIN,23.19,28/02/2026 22:57
TG132_300261_66699_00219_132_20260228150555_91.13.BIN,45.34,28/02/2026 15:06
TG132_300263_66303_00902_132_20260228152606_91.13.BIN,40.17,28/02/2026 15:26
