Arquivo,Tamanho (KB),Data Modificação
TG012_12002_66299_01224_012_20260304000315_91.13.BIN,30.62,04/03/2026 00:04
TG012_12083_67580_01398_012_20260304002621_91.13.BIN,16.36,04/03/2026 00:28
TG132_300230_67103_00888_132_20260304002029_91.13.BIN,17.44,04/03/2026 00:21
TG132_300233_67656_00979_132_20260304000533_91.13.BIN,61.50,04/03/2026 00:08
TG132_300264_67036_01364_132_20260304002208_91.13.BIN,18.47,04/03/2026 00:22
TG132_300284_67108_01391_132_20260304002001_91.13.BIN,55.84,04/03/2026 00:22
TG012_12001_67461_01133_012_20260304204450_91.13.BIN,99.77,04/03/2026 20:51
TG012_12002_66299_01225_012_20260304150125_91.13.BIN,41.67,04/03/2026 23:53
TG012_12002_66299_01226_012_20260304235335_91.13.BIN,32.12,04/03/2026 23:53
TG012_12003_67797_00814_012_20260304181537_91.13.BIN,61.16,04/03/2026 18:38
TG012_12005_66701_01250_012_20260304183714_91.13.BIN,62.74,04/03/2026 18:37
TG012_12080_67662_00940_012_20260304130610_91.13.BIN,76.60,04/03/2026 22:51
TG012_12080_67662_00941_012_20260304225125_91.13.BIN,88.19,04/03/2026 22:51
TG012_12081_66140_00882_012_20260304102639_91.13.BIN,24.70,04/03/2026 10:26
TG012_12083_67580_01399_012_20260304150104_91.13.BIN,40.34,05/03/2026 00:33
TG012_12084_66232_00992_012_20260304142915_91.13.BIN,56.73,04/03/2026 23:41
TG012_12084_66232_00993_012_20260304233958_91.13.BIN,42.40,04/03/2026 23:41
TG012_12086_66729_01226_012_20260304181205_91.13.BIN,44.92,04/03/2026 18:12
TG012_12087_66895_00883_012_20260304144314_91.13.BIN,19.46,04/03/2026 14:43
TG012_12090_66253_00203_012_20260304184938_91.13.BIN,46.64,04/03/2026 18:50
TG012_12091_67010_01278_012_20260304050200_91.13.BIN,5.75,04/03/2026 20:20
TG012_12091_67010_01279_012_20260304123716_91.13.BIN,36.42,04/03/2026 20:20
TG012_12091_67010_01280_012_20260304202000_91.13.BIN,41.32,04/03/2026 20:20
TG012_12092_66669_01106_012_20260304153529_91.13.BIN,65.91,04/03/2026 22:40
TG012_12092_66669_01107_012_20260304224035_91.13.BIN,22.87,04/03/2026 22:40
TG012_12093_66629_00572_012_20260304142521_91.13.BIN,23.34,04/03/2026 14:25
TG012_12094_66339_01221_012_20260304130950_91.13.BIN,29.21,04/03/2026 13:19
TG012_12095_67089_00750_012_20260304101722_91.13.BIN,21.90,04/03/2026 10:16
TG024_24004_66877_00452_024_20260304192607_91.13.BIN,74.02,04/03/2026 19:28
TG024_24016_66266_01185_024_20260304134838_91.13.BIN,47.76,04/03/2026 20:45
TG024_24016_66266_01186_024_20260304204544_91.13.BIN,19.92,04/03/2026 20:45
TG132_300201_67121_01128_132_20260304204005_91.13.BIN,89.75,04/03/2026 20:40
TG132_300202_66109_01264_132_20260304182437_91.13.BIN,77.85,04/03/2026 18:25
TG132_300203_66448_01103_132_20260304181947_91.13.BIN,72.07,04/03/2026 18:20
TG132_300204_67414_01052_132_20260304121931_91.13.BIN,61.38,04/03/2026 21:10
TG132_300204_67414_01053_132_20260304211001_91.13.BIN,49.92,04/03/2026 21:10
TG132_300205_66107_00973_132_20260304184914_91.13.BIN,81.12,04/03/2026 19:11
TG132_300206_66915_01479_132_20260304034635_91.13.BIN,4.80,04/03/2026 19:51
TG132_300206_66915_01480_132_20260304125246_91.13.BIN,95.25,04/03/2026 19:51
TG132_300206_66915_01481_132_20260304195145_91.13.BIN,52.92,04/03/2026 19:51
TG132_300207_66887_01209_132_20260304144722_91.13.BIN,62.94,05/03/2026 00:02
TG132_300208_66684_01178_132_20260304194659_91.13.BIN,97.67,04/03/2026 19:48
TG132_300212_67731_01406_132_20260304161321_91.13.BIN,39.28,04/03/2026 23:25
TG132_300212_67731_01407_132_20260304232425_91.13.BIN,19.63,04/03/2026 23:25
TG132_300213_66788_00840_132_20260304090111_91.13.BIN,52.35,04/03/2026 09:01
TG132_300213_66788_00841_132_20260304153302_91.13.BIN,17.13,04/03/2026 15:34
TG132_300214_66137_01264_132_20260304135301_91.13.BIN,47.54,04/03/2026 17:57
TG132_300214_66137_01265_132_20260304175718_91.13.BIN,5.67,04/03/2026 17:57
TG132_300214_66137_01266_132_20260304180753_91.13.BIN,3.20,04/03/2026 18:10
TG132_300215_66221_01393_132_20260304093747_91.13.BIN,28.37,04/03/2026 19:39
TG132_300215_66221_01394_132_20260304115930_91.13.BIN,5.12,04/03/2026 19:39
TG132_300215_66221_01395_132_20260304193836_91.13.BIN,35.88,04/03/2026 19:39
TG132_300218_66567_01141_132_20260304133011_91.13.BIN,23.22,04/03/2026 13:30
TG132_300218_66567_01142_132_20260304153218_91.13.BIN,6.71,04/03/2026 15:33
TG132_300219_66175_00965_132_20260304194205_91.13.BIN,68.71,04/03/2026 19:42
TG132_300220_66160_01137_132_20260304134900_91.13.BIN,47.44,04/03/2026 13:48
TG132_300221_67632_01333_132_20260304225027_91.13.BIN,20.21,04/03/2026 23:02
TG132_300223_66261_00793_132_20260304195700_91.13.BIN,82.75,04/03/2026 19:57
TG132_300224_66377_01163_132_20260304141634_91.13.BIN,9.02,04/03/2026 21:51
TG132_300224_66377_01164_132_20260304215110_91.13.BIN,16.19,04/03/2026 21:51
TG132_300226_66171_01245_132_20260304135932_91.13.BIN,41.15,04/03/2026 23:40
TG132_300226_66171_01246_132_20260304233920_91.13.BIN,27.67,04/03/2026 23:40
TG132_300227_66861_00745_132_20260304144308_91.13.BIN,67.36,04/03/2026 19:31
TG132_300227_66861_00746_132_20260304193138_91.13.BIN,26.33,04/03/2026 19:31
TG132_300228_67002_01066_132_20260304125419_91.13.BIN,51.51,04/03/2026 22:36
TG132_300228_67002_01067_132_20260304152430_91.13.BIN,7.03,04/03/2026 22:36
TG132_300228_67002_01068_132_20260304223607_91.13.BIN,16.47,04/03/2026 22:36
TG132_300229_67515_01068_132_20260304193325_91.13.BIN,55.90,04/03/2026 19:33
TG132_300230_67103_00889_132_20260304130725_91.13.BIN,71.18,04/03/2026 21:16
