Arquivo,Tamanho (KB),Data Modificação
TG012_12088_66176_01046_012_20251224002830_91.13.BIN,37.28,24/12/2025 00:29
TG132_300218_66567_01073_132_20251224001413_91.13.BIN,23.58,24/12/2025 00:17
TG132_300232_66955_01047_132_20251224000425_91.13.BIN,42.56,24/12/2025 00:05
TG132_300283_66107_00898_132_20251224002658_91.13.BIN,30.03,24/12/2025 00:28
TG132_300284_67108_01295_132_20251224000154_91.13.BIN,26.77,24/12/2025 00:03
TG012_12001_67461_01050_012_20251224172240_91.13.BIN,57.07,24/12/2025 17:22
TG012_12002_66221_01339_012_20251224080455_91.13.BIN,14.91,24/12/2025 09:09
TG012_12003_67797_00734_012_20251224143412_91.13.BIN,24.60,24/12/2025 14:33
TG012_12005_66701_01166_012_20251224145740_91.13.BIN,37.72,24/12/2025 14:56
TG012_12081_66140_00826_012_20251224175320_91.13.BIN,40.33,24/12/2025 17:53
TG012_12084_66232_00875_012_20251224143125_91.13.BIN,39.16,24/12/2025 23:19
TG012_12084_66232_00876_012_20251224232047_91.13.BIN,35.34,24/12/2025 23:19
TG012_12086_66729_01136_012_20251224072856_91.13.BIN,6.36,24/12/2025 18:24
TG012_12086_66729_01137_012_20251224182415_91.13.BIN,54.31,24/12/2025 18:24
TG012_12087_66906_01097_012_20251224104604_91.13.BIN,24.95,24/12/2025 10:47
TG012_12089_66127_01088_012_20251224093231_91.13.BIN,5.01,24/12/2025 09:32
TG012_12089_66127_01089_012_20251224212831_91.13.BIN,10.36,24/12/2025 21:28
TG012_12090_66175_00933_012_20251224171618_91.13.BIN,63.68,24/12/2025 17:16
TG012_12091_67010_01181_012_20251224132047_91.13.BIN,30.42,24/12/2025 13:23
TG012_12091_67010_01182_012_20251224194633_91.13.BIN,7.73,24/12/2025 19:46
TG012_12092_66669_01001_012_20251224134303_91.13.BIN,40.40,24/12/2025 19:18
TG012_12092_66669_01002_012_20251224185645_91.13.BIN,24.03,24/12/2025 19:18
TG012_12093_67628_00751_012_20251224185751_91.13.BIN,65.69,24/12/2025 22:37
TG012_12093_67628_00752_012_20251224223634_91.13.BIN,11.76,24/12/2025 22:37
TG024_24004_66763_00690_024_20251224144617_91.13.BIN,10.18,24/12/2025 14:47
TG024_24004_66763_00691_024_20251224204640_91.13.BIN,5.41,24/12/2025 20:47
TG024_24011_66289_01355_024_20251224135841_91.13.BIN,32.89,24/12/2025 21:38
TG024_24011_66289_01356_024_20251224213940_91.13.BIN,9.64,24/12/2025 21:38
TG024_24016_66266_01086_024_20251224122233_91.13.BIN,33.63,24/12/2025 17:24
TG024_24016_66266_01087_024_20251224171811_91.13.BIN,12.22,24/12/2025 17:24
TG132_12095_67089_00691_132_20251224195122_91.13.BIN,14.53,24/12/2025 20:07
TG132_300201_67121_01050_132_20251224194908_91.13.BIN,59.27,24/12/2025 19:49
TG132_300202_66109_01182_132_20251224115634_91.13.BIN,33.62,24/12/2025 18:46
TG132_300202_66109_01183_132_20251224184647_91.13.BIN,33.22,24/12/2025 18:47
TG132_300203_67276_01211_132_20251224081116_91.13.BIN,8.50,24/12/2025 08:12
TG132_300203_67276_01212_132_20251224181011_91.13.BIN,29.02,24/12/2025 18:10
TG132_300204_67414_00938_132_20251224122507_91.13.BIN,28.12,24/12/2025 20:57
TG132_300204_67414_00939_132_20251224205659_91.13.BIN,30.38,24/12/2025 20:57
TG132_300205_66339_01160_132_20251224183620_91.13.BIN,53.47,24/12/2025 18:59
TG132_300206_66915_01362_132_20251224104844_91.13.BIN,49.85,24/12/2025 19:27
TG132_300206_66915_01363_132_20251224192656_91.13.BIN,53.05,24/12/2025 19:27
TG132_300207_66887_01125_132_20251224151720_91.13.BIN,47.04,24/12/2025 23:10
TG132_300207_66887_01126_132_20251224231140_91.13.BIN,40.40,24/12/2025 23:10
TG132_300208_66684_01057_132_20251224061005_91.13.BIN,11.06,24/12/2025 06:10
TG132_300208_66684_01058_132_20251224190805_91.13.BIN,72.74,24/12/2025 19:08
TG132_300212_67731_01305_132_20251224103751_91.13.BIN,15.39,24/12/2025 10:38
TG132_300215_67515_01008_132_20251224041356_91.13.BIN,3.39,24/12/2025 04:14
TG132_300215_67515_01009_132_20251224045437_91.13.BIN,2.45,24/12/2025 04:54
TG132_300215_67515_01010_132_20251224134835_91.13.BIN,37.97,24/12/2025 20:43
TG132_300215_67515_01011_132_20251224204319_91.13.BIN,19.86,24/12/2025 20:43
TG132_300216_66773_00891_132_20251224133710_91.13.BIN,44.45,24/12/2025 22:31
TG132_300216_66773_00892_132_20251224223222_91.13.BIN,14.57,24/12/2025 22:31
TG132_300218_66567_01074_132_20251224151341_91.13.BIN,30.50,24/12/2025 23:58
TG132_300218_66567_01075_132_20251224235939_91.13.BIN,8.97,24/12/2025 23:58
TG132_300219_66700_01013_132_20251224185311_91.13.BIN,31.24,24/12/2025 18:53
TG132_300220_66160_01043_132_20251224140630_91.13.BIN,19.26,24/12/2025 23:03
TG132_300220_66160_01044_132_20251224230329_91.13.BIN,22.44,24/12/2025 23:03
TG132_300220_66160_01045_132_20251224230508_91.13.BIN,1.41,24/12/2025 23:03
TG132_300221_67632_01268_132_20251224091026_91.13.BIN,3.96,24/12/2025 09:10
TG132_300223_66261_00722_132_20251224114139_91.13.BIN,17.54,24/12/2025 18:54
TG132_300223_66261_00723_132_20251224185436_91.13.BIN,8.86,24/12/2025 18:54
TG132_300224_66377_01104_132_20251224161802_91.13.BIN,36.04,24/12/2025 16:17
TG132_300225_66903_00290_132_20251224043030_91.13.BIN,7.15,24/12/2025 04:30
TG132_300226_66171_01152_132_20251224142132_91.13.BIN,19.88,24/12/2025 14:20
TG132_300227_66861_00710_132_20251224132423_91.13.BIN,35.55,24/12/2025 13:23
TG132_300229_67002_00980_132_20251224184520_91.13.BIN,42.38,24/12/2025 19:00
TG132_300230_67103_00781_132_20251224125054_91.13.BIN,55.60,24/12/2025 21:06
TG132_300230_67103_00782_132_20251224210557_91.13.BIN,44.60,24/12/2025 21:06
TG132_300231_67039_01161_132_20251224140712_91.13.BIN,27.96,24/12/2025 14:06
TG132_300232_66955_01048_132_20251224143800_91.13.BIN,37.13,24/12/2025 19:57
TG132_300232_66955_01049_132_20251224195728_91.13.BIN,22.55,24/12/2025 19:57
TG132_300233_67656_00896_132_20251224191730_91.13.BIN,63.81,24/12/2025 19:17
TG132_300235_66131_01197_132_20251224161619_91.13.BIN,47.35,24/12/2025 23:56
TG132_300235_66131_01198_132_20251224235724_91.13.BIN,20.39,24/12/2025 23:56
TG132_300236_66754_01082_132_20251224125631_91.13.BIN,58.72,24/12/2025 20:44
TG132_300236_66754_01083_132_20251224204440_91.13.BIN,29.04,24/12/2025 20:44
TG132_300237_66649_00995_132_20251224151144_91.13.BIN,33.48,24/12/2025 22:00
TG132_300237_66649_00996_132_20251224220200_91.13.BIN,23.10,24/12/2025 22:00
TG132_300238_66257_00965_132_20251224181307_91.13.BIN,69.59,24/12/2025 18:14
TG132_300239_66227_00839_132_20251224145550_91.13.BIN,39.91,24/12/2025 21:06
TG132_300239_66227_00840_132_20251224210638_91.13.BIN,22.99,24/12/2025 21:06
TG132_300240_66783_01214_132_20251224151959_91.13.BIN,39.71,24/12/2025 23:00
TG132_300240_66783_01215_132_20251224230139_91.13.BIN,14.68,24/12/2025 23:00
TG132_300241_68275_00906_132_20251224182100_91.13.BIN,49.49,24/12/2025 18:21
TG132_300242_66963_01364_132_20251224144633_91.13.BIN,49.02,24/12/2025 21:08
TG132_300242_66963_01365_132_20251224144854_91.13.BIN,2.88,24/12/2025 21:08
