Arquivo,Tamanho (KB),Data Modificação
TG012_12002_66149_01427_012_20260207002240_91.13.BIN,49.43,07/02/2026 00:23
TG012_12001_67461_01101_012_20260207141404_91.13.BIN,45.63,07/02/2026 14:14
TG012_12002_66149_01428_012_20260207134932_91.13.BIN,36.19,07/02/2026 20:58
TG012_12002_66149_01429_012_20260207205901_91.13.BIN,39.94,07/02/2026 20:58
TG012_12003_67797_00787_012_20260207120630_91.13.BIN,30.12,07/02/2026 17:14
TG012_12003_67797_00788_012_20260207171145_91.13.BIN,22.97,07/02/2026 17:14
TG012_12003_67797_00789_012_20260207233838_91.13.BIN,22.19,07/02/2026 23:39
TG012_12080_67662_00894_012_20260207130400_91.13.BIN,54.75,07/02/2026 22:58
TG012_12080_67662_00895_012_20260207130811_91.13.BIN,1.61,07/02/2026 22:58
TG012_12080_67662_00896_012_20260207225741_91.13.BIN,38.07,07/02/2026 22:58
TG012_12081_66140_00864_012_20260207144653_91.13.BIN,37.11,07/02/2026 14:47
TG012_12084_66232_00948_012_20260207133523_91.13.BIN,29.40,07/02/2026 13:36
TG012_12086_66729_01192_012_20260207122628_91.13.BIN,24.94,07/02/2026 12:26
TG012_12089_66644_01309_012_20260207131645_91.13.BIN,28.79,07/02/2026 13:17
TG012_12090_67104_00773_012_20260207150043_91.13.BIN,39.02,07/02/2026 15:00
TG012_12091_67010_01243_012_20260207142424_91.13.BIN,40.31,07/02/2026 14:36
TG012_12092_66669_01072_012_20260207130853_91.13.BIN,49.46,07/02/2026 23:14
TG012_12092_66669_01073_012_20260207231345_91.13.BIN,24.06,07/02/2026 23:14
TG012_12093_66629_00551_012_20260207140801_91.13.BIN,29.10,07/02/2026 14:08
TG024_24004_66877_00434_024_20260207155006_91.13.BIN,37.35,07/02/2026 15:50
TG024_24011_66289_01400_024_20260207135857_91.13.BIN,21.95,07/02/2026 21:48
TG024_24011_66289_01401_024_20260207214732_91.13.BIN,13.21,07/02/2026 21:48
TG024_24016_66266_01144_024_20260207045110_91.13.BIN,3.34,07/02/2026 04:51
TG024_24016_66266_01145_024_20260207164935_91.13.BIN,10.14,07/02/2026 17:55
TG132_300201_67121_01099_132_20260207135034_91.13.BIN,62.79,07/02/2026 13:50
TG132_300201_67121_01100_132_20260207230905_91.13.BIN,31.87,07/02/2026 23:10
TG132_300202_66109_01239_132_20260207172542_91.13.BIN,75.51,07/02/2026 17:25
TG132_300202_66109_01240_132_20260207205942_91.13.BIN,11.94,07/02/2026 21:00
TG132_300204_67414_01008_132_20260207122029_91.13.BIN,48.27,07/02/2026 20:01
TG132_300204_67414_01009_132_20260207200139_91.13.BIN,44.99,07/02/2026 20:01
TG132_300206_66915_01432_132_20260207162353_91.13.BIN,100.49,07/02/2026 23:08
TG132_300206_66915_01433_132_20260207230740_91.13.BIN,24.35,07/02/2026 23:08
TG132_300208_66684_01131_132_20260207155110_91.13.BIN,74.88,07/02/2026 15:51
