Arquivo,Tamanho (KB),Data Modificação
TG012_12091_67010_01195_012_20260105000814_91.13.BIN,11.26,05/01/2026 00:08
TG132_300202_66109_01203_132_20260105001905_91.13.BIN,25.74,05/01/2026 00:19
TG132_300203_67276_01232_132_20260105001245_91.13.BIN,5.36,05/01/2026 00:12
TG132_300280_67384_00767_132_20260105000923_91.13.BIN,36.02,05/01/2026 00:09
TG012_12001_67461_01066_012_20260105201436_91.13.BIN,70.78,05/01/2026 20:15
TG012_12002_66149_01376_012_20260105121555_91.13.BIN,21.82,05/01/2026 12:17
TG012_12002_66149_01377_012_20260105191846_91.13.BIN,23.13,05/01/2026 19:17
TG012_12003_67797_00755_012_20260105175547_91.13.BIN,55.04,05/01/2026 17:57
TG012_12005_66701_01179_012_20260105060007_91.13.BIN,3.66,05/01/2026 06:00
TG012_12005_66701_01180_012_20260105185624_91.13.BIN,43.34,05/01/2026 18:57
TG012_12080_66877_00396_012_20260105125926_91.13.BIN,53.97,05/01/2026 22:47
TG012_12080_66877_00397_012_20260105224731_91.13.BIN,46.60,05/01/2026 22:47
TG012_12081_66140_00836_012_20260105175924_91.13.BIN,76.47,05/01/2026 18:15
TG012_12084_66232_00896_012_20260105140102_91.13.BIN,48.41,05/01/2026 23:39
TG012_12084_66232_00897_012_20260105233926_91.13.BIN,44.58,05/01/2026 23:39
TG012_12087_66906_01106_012_20260105090010_91.13.BIN,26.42,05/01/2026 09:02
TG012_12089_66644_01257_012_20260105193345_91.13.BIN,64.77,05/01/2026 19:35
TG012_12090_67104_00742_012_20260105180133_91.13.BIN,58.58,05/01/2026 18:02
TG012_12091_67010_01196_012_20260105121603_91.13.BIN,42.38,05/01/2026 20:06
TG012_12091_67010_01197_012_20260105200540_91.13.BIN,34.18,05/01/2026 20:06
TG012_12092_66669_01020_012_20260105052006_91.13.BIN,5.91,05/01/2026 05:20
TG012_12092_66669_01021_012_20260105132917_91.13.BIN,54.48,05/01/2026 22:47
TG012_12092_66669_01022_012_20260105224707_91.13.BIN,27.75,05/01/2026 22:47
TG012_12093_67628_00771_012_20260105192721_91.13.BIN,66.75,05/01/2026 19:41
TG012_12095_67089_00702_012_20260105185033_91.13.BIN,52.95,05/01/2026 18:52
TG024_24004_67783_01333_024_20260105192149_91.13.BIN,38.52,06/01/2026 00:20
TG024_24011_66289_01367_024_20260105122854_91.13.BIN,31.34,05/01/2026 21:54
TG024_24011_66289_01368_024_20260105215401_91.13.BIN,10.61,05/01/2026 21:54
TG024_24016_66266_01103_024_20260105133224_91.13.BIN,37.20,05/01/2026 20:06
TG024_24016_66266_01104_024_20260105200514_91.13.BIN,18.09,05/01/2026 20:06
TG132_300201_67121_01068_132_20260105201747_91.13.BIN,72.99,05/01/2026 20:18
TG132_300202_66109_01204_132_20260105193117_91.13.BIN,69.05,05/01/2026 19:31
TG132_300203_67276_01233_132_20260105153138_91.13.BIN,31.88,05/01/2026 15:33
TG132_300203_67276_01234_132_20260105232444_91.13.BIN,36.25,05/01/2026 23:26
TG132_300204_67414_00958_132_20260105120610_91.13.BIN,25.05,05/01/2026 21:00
TG132_300204_67414_00959_132_20260105210005_91.13.BIN,36.49,05/01/2026 21:00
TG132_300205_66339_01187_132_20260105185940_91.13.BIN,89.19,05/01/2026 19:18
TG132_300206_66915_01382_132_20260105104131_91.13.BIN,82.14,05/01/2026 14:47
TG132_300206_66915_01383_132_20260105144558_91.13.BIN,18.55,05/01/2026 14:47
TG132_300207_66887_01145_132_20260105184402_91.13.BIN,90.20,05/01/2026 18:45
TG132_300208_66684_01080_132_20260105192026_91.13.BIN,80.80,05/01/2026 19:20
TG132_300212_67731_01320_132_20260105135626_91.13.BIN,39.54,05/01/2026 23:25
TG132_300212_67731_01321_132_20260105232458_91.13.BIN,23.87,05/01/2026 23:25
TG132_300213_66788_00805_132_20260105124505_91.13.BIN,39.60,05/01/2026 12:46
TG132_300214_66137_01177_132_20260105135728_91.13.BIN,39.76,05/01/2026 21:05
TG132_300214_66137_01178_132_20260105205245_91.13.BIN,25.58,05/01/2026 21:05
TG132_300215_67515_01022_132_20260105074326_91.13.BIN,11.84,05/01/2026 07:43
TG132_300216_66773_00912_132_20260105133546_91.13.BIN,52.90,05/01/2026 22:37
TG132_300216_66773_00913_132_20260105223644_91.13.BIN,36.98,05/01/2026 22:37
TG132_300220_66160_01056_132_20260105131934_91.13.BIN,43.86,05/01/2026 13:22
TG132_300220_66160_01057_132_20260105231522_91.13.BIN,25.34,05/01/2026 23:18
TG132_300223_66261_00734_132_20260105055327_91.13.BIN,5.90,05/01/2026 08:05
TG132_300223_66261_00735_132_20260105080351_91.13.BIN,9.89,05/01/2026 08:05
TG132_300223_66261_00736_132_20260105175543_91.13.BIN,31.44,05/01/2026 17:56
TG132_300223_66261_00737_132_20260105182849_91.13.BIN,2.53,05/01/2026 18:28
TG132_300225_66903_00309_132_20260105151416_91.13.BIN,40.19,06/01/2026 00:14
TG132_300226_66171_01162_132_20260105135438_91.13.BIN,36.03,05/01/2026 13:56
TG132_300226_66171_01163_132_20260105234557_91.13.BIN,18.19,05/01/2026 23:44
TG132_300229_67002_00985_132_20260105191453_91.13.BIN,74.58,05/01/2026 19:14
TG132_300230_67103_00798_132_20260105151223_91.13.BIN,57.02,05/01/2026 21:31
TG132_300230_67103_00799_132_20260105213051_91.13.BIN,45.86,05/01/2026 21:31
TG132_300231_67039_01175_132_20260105141106_91.13.BIN,49.54,05/01/2026 22:55
TG132_300231_67039_01176_132_20260105225529_91.13.BIN,27.07,05/01/2026 22:55
TG132_300232_66955_01058_132_20260105200828_91.13.BIN,79.10,05/01/2026 20:09
TG132_300233_67656_00907_132_20260105133857_91.13.BIN,49.60,05/01/2026 20:06
