Arquivo,Tamanho (KB),Data Modificação
TG012_12083_67580_01394_012_20260302000621_91.13.BIN,14.81,02/03/2026 00:05
TG132_300241_68275_01001_132_20260302000136_91.13.BIN,34.65,02/03/2026 00:00
TG132_300264_67036_01360_132_20260302003717_91.13.BIN,13.78,02/03/2026 00:36
TG132_300285_66584_01470_132_20260302000722_91.13.BIN,26.14,02/03/2026 00:08
TG012_12001_67461_01131_012_20260302204229_91.13.BIN,89.19,02/03/2026 20:44
TG012_12002_66299_01221_012_20260302150651_91.13.BIN,40.71,03/03/2026 00:02
TG012_12002_66299_01222_012_20260302235825_91.13.BIN,28.75,03/03/2026 00:02
TG012_12003_67797_00812_012_20260302200020_91.13.BIN,64.02,02/03/2026 20:01
TG012_12005_66701_01246_012_20260302071056_91.13.BIN,4.73,02/03/2026 07:11
TG012_12005_66701_01247_012_20260302215034_91.13.BIN,12.26,02/03/2026 21:51
TG012_12080_67662_00936_012_20260302123905_91.13.BIN,62.75,02/03/2026 22:44
TG012_12080_67662_00937_012_20260302224350_91.13.BIN,51.45,02/03/2026 22:44
TG012_12081_66140_00880_012_20260302181842_91.13.BIN,51.32,02/03/2026 18:19
TG012_12083_67580_01395_012_20260302130212_91.13.BIN,31.78,03/03/2026 00:25
TG012_12084_66232_00988_012_20260302144824_91.13.BIN,56.34,02/03/2026 23:31
TG012_12084_66232_00989_012_20260302233052_91.13.BIN,36.38,02/03/2026 23:31
TG012_12086_66729_01223_012_20260302173734_91.13.BIN,51.11,02/03/2026 17:38
TG012_12087_66895_00881_012_20260302145223_91.13.BIN,24.11,02/03/2026 14:53
TG012_12089_66644_01341_012_20260302195959_91.13.BIN,54.24,02/03/2026 20:01
TG012_12090_66253_00201_012_20260302183621_91.13.BIN,32.32,02/03/2026 18:38
TG012_12091_67010_01277_012_20260302173115_91.13.BIN,51.67,02/03/2026 17:32
TG012_12092_66669_01103_012_20260302133658_91.13.BIN,47.76,02/03/2026 19:12
TG012_12093_66629_00570_012_20260302193308_91.13.BIN,95.05,02/03/2026 19:33
