Arquivo,Tamanho (KB),Data Modificação
TG012_12002_66149_01435_012_20260212001823_91.13.BIN,33.38,12/02/2026 00:37
TG012_12087_66895_00864_012_20260212002822_91.13.BIN,14.02,12/02/2026 00:52
TG132_300207_66887_01184_132_20260212000011_91.13.BIN,89.56,12/02/2026 00:27
TG132_300235_66131_01267_132_20260212000231_91.13.BIN,45.13,12/02/2026 00:18
TG132_300264_67036_01332_132_20260212003228_91.13.BIN,14.16,12/02/2026 00:36
TG132_300276_68278_01263_132_20260212000750_91.13.BIN,48.72,12/02/2026 00:20
TG132_300283_66906_01149_132_20260212002105_91.13.BIN,70.88,12/02/2026 00:25
TG132_300284_67108_01354_132_20260212000903_91.13.BIN,61.70,12/02/2026 00:10
TG012_12001_67461_01108_012_20260212203718_91.13.BIN,82.29,12/02/2026 20:35
TG012_12002_66149_01436_012_20260212150030_91.13.BIN,51.65,12/02/2026 23:57
TG012_12002_66149_01437_012_20260212235810_91.13.BIN,29.63,12/02/2026 23:57
TG012_12003_67797_00794_012_20260212171844_91.13.BIN,45.93,12/02/2026 17:16
TG012_12005_66701_01227_012_20260212181459_91.13.BIN,41.76,12/02/2026 18:15
TG012_12080_67662_00903_012_20260212130101_91.13.BIN,46.80,12/02/2026 22:33
TG012_12080_67662_00904_012_20260212223404_91.13.BIN,36.91,12/02/2026 22:33
TG012_12081_66140_00868_012_20260212104810_91.13.BIN,25.19,12/02/2026 10:46
TG012_12084_66232_00955_012_20260212142749_91.13.BIN,55.33,12/02/2026 23:40
TG012_12084_66232_00956_012_20260212234141_91.13.BIN,40.22,12/02/2026 23:40
TG012_12086_66729_01197_012_20260212195510_91.13.BIN,65.63,12/02/2026 19:57
TG012_12087_66895_00865_012_20260212141939_91.13.BIN,20.99,12/02/2026 14:20
TG012_12089_66644_01320_012_20260212070829_91.13.BIN,20.49,12/02/2026 07:06
TG012_12090_67104_00777_012_20260212132543_91.13.BIN,40.50,12/02/2026 13:23
TG012_12090_67104_00778_012_20260212194917_91.13.BIN,16.75,12/02/2026 19:49
TG012_12091_67010_01251_012_20260212050420_91.13.BIN,2.94,12/02/2026 05:04
TG012_12091_67010_01252_012_20260212123420_91.13.BIN,41.65,12/02/2026 20:27
TG012_12091_67010_01253_012_20260212202942_91.13.BIN,29.34,12/02/2026 20:27
TG012_12092_66669_01080_012_20260212132644_91.13.BIN,76.20,12/02/2026 22:41
TG012_12092_66669_01081_012_20260212223823_91.13.BIN,42.02,12/02/2026 22:41
TG012_12093_66629_00556_012_20260212195238_91.13.BIN,55.46,12/02/2026 19:52
TG012_12095_67089_00731_012_20260212123305_91.13.BIN,18.40,12/02/2026 15:16
TG012_12095_67089_00732_012_20260212145712_91.13.BIN,8.82,12/02/2026 15:16
TG024_24004_66877_00438_024_20260212195332_91.13.BIN,69.73,12/02/2026 19:54
TG024_24011_66289_01410_024_20260212135942_91.13.BIN,35.79,12/02/2026 21:58
TG024_24011_66289_01411_024_20260212220058_91.13.BIN,25.26,12/02/2026 21:58
TG024_24016_66266_01154_024_20260212115719_91.13.BIN,44.04,12/02/2026 20:08
TG024_24016_66266_01155_024_20260212201034_91.13.BIN,31.19,12/02/2026 20:08
TG132_300201_67121_01106_132_20260212203743_91.13.BIN,73.08,12/02/2026 20:35
TG132_300202_66109_01247_132_20260212184036_91.13.BIN,50.89,12/02/2026 18:40
TG132_300203_66448_01076_132_20260212184054_91.13.BIN,89.69,12/02/2026 18:41
TG132_300204_67414_01016_132_20260212130822_91.13.BIN,40.52,12/02/2026 13:06
TG132_300205_66107_00947_132_20260212190255_91.13.BIN,99.09,12/02/2026 19:23
TG132_300206_66915_01443_132_20260212111131_91.13.BIN,74.29,12/02/2026 20:14
TG132_300206_66915_01444_132_20260212201628_91.13.BIN,93.30,12/02/2026 20:14
TG132_300207_66887_01185_132_20260212210245_91.13.BIN,108.88,12/02/2026 21:00
TG132_300208_66684_01139_132_20260212060404_91.13.BIN,6.71,12/02/2026 06:03
TG132_300208_66684_01140_132_20260212194123_91.13.BIN,78.74,12/02/2026 19:41
TG132_300212_67731_01377_132_20260212135505_91.13.BIN,31.47,12/02/2026 23:26
TG132_300212_67731_01378_132_20260212232440_91.13.BIN,25.82,12/02/2026 23:26
TG132_300214_66137_01226_132_20260212135326_91.13.BIN,37.50,12/02/2026 20:29
TG132_300214_66137_01227_132_20260212203136_91.13.BIN,27.33,12/02/2026 20:29
TG132_300215_66221_01372_132_20260212112053_91.13.BIN,33.48,12/02/2026 19:50
TG132_300215_66221_01373_132_20260212195242_91.13.BIN,28.11,12/02/2026 19:50
TG132_300216_66773_00971_132_20260212143616_91.13.BIN,59.52,12/02/2026 22:42
TG132_300216_66773_00972_132_20260212223659_91.13.BIN,30.78,12/02/2026 22:42
TG132_300218_66567_01109_132_20260212110924_91.13.BIN,13.77,12/02/2026 11:09
TG132_300218_66567_01110_132_20260212151515_91.13.BIN,16.62,12/02/2026 15:15
TG132_300219_66175_00946_132_20260212072024_91.13.BIN,3.34,12/02/2026 07:20
TG132_300219_66175_00947_132_20260212133652_91.13.BIN,3.90,12/02/2026 13:37
TG132_300220_66160_01111_132_20260212101159_91.13.BIN,25.75,12/02/2026 10:12
TG132_300220_66160_01112_132_20260212230734_91.13.BIN,34.33,12/02/2026 23:09
TG132_300221_67632_01313_132_20260212230803_91.13.BIN,16.79,12/02/2026 23:07
TG132_300223_66261_00772_132_20260212135629_91.13.BIN,36.64,12/02/2026 13:54
TG132_300224_66377_01148_132_20260212194058_91.13.BIN,71.82,12/02/2026 19:38
