Arquivo,Tamanho (KB),Data Modificação
TG012_12001_67461_01097_012_20260204203636_91.13.BIN,76.11,04/02/2026 20:36
TG012_12002_66149_01423_012_20260204093019_91.13.BIN,16.44,04/02/2026 09:30
TG012_12003_67797_00781_012_20260204143628_91.13.BIN,29.58,04/02/2026 21:08
TG012_12003_67797_00782_012_20260204210839_91.13.BIN,36.30,04/02/2026 21:08
TG012_12005_66701_01219_012_20260204132551_91.13.BIN,41.87,04/02/2026 18:59
TG012_12005_66701_01220_012_20260204185943_91.13.BIN,18.72,04/02/2026 18:59
TG012_12080_67662_00888_012_20260204130052_91.13.BIN,78.41,04/02/2026 22:57
TG012_12080_67662_00889_012_20260204225724_91.13.BIN,29.53,04/02/2026 22:57
TG012_12081_66140_00858_012_20260204143647_91.13.BIN,50.81,04/02/2026 18:34
TG012_12081_66140_00859_012_20260204183422_91.13.BIN,29.95,04/02/2026 18:34
TG012_12084_66232_00942_012_20260204142257_91.13.BIN,49.01,04/02/2026 23:10
TG012_12084_66232_00943_012_20260204231041_91.13.BIN,20.25,04/02/2026 23:10
TG012_12086_66729_01187_012_20260204070752_91.13.BIN,13.16,04/02/2026 07:08
TG012_12086_66729_01188_012_20260204182453_91.13.BIN,22.65,04/02/2026 18:25
TG012_12087_66895_00855_012_20260204091352_91.13.BIN,13.19,04/02/2026 09:14
TG012_12088_66176_01080_012_20260204120523_91.13.BIN,27.83,04/02/2026 12:06
TG012_12089_66644_01301_012_20260204120321_91.13.BIN,25.77,04/02/2026 16:55
TG012_12089_66644_01302_012_20260204165354_91.13.BIN,13.34,04/02/2026 16:55
TG012_12089_66644_01303_012_20260204193106_91.13.BIN,5.38,04/02/2026 19:31
TG012_12089_66644_01304_012_20260204194023_91.13.BIN,2.58,04/02/2026 19:40
TG012_12090_67104_00768_012_20260204124406_91.13.BIN,41.12,04/02/2026 19:51
TG012_12090_67104_00769_012_20260204195136_91.13.BIN,20.20,04/02/2026 19:51
TG012_12091_67010_01236_012_20260204122806_91.13.BIN,41.67,04/02/2026 20:10
TG012_12091_67010_01237_012_20260204123043_91.13.BIN,4.96,04/02/2026 20:10
TG012_12091_67010_01238_012_20260204201002_91.13.BIN,35.55,04/02/2026 20:10
TG012_12092_66669_01066_012_20260204132447_91.13.BIN,44.94,04/02/2026 14:10
TG012_12092_66669_01067_012_20260204222237_91.13.BIN,12.21,04/02/2026 22:22
TG012_12093_66629_00545_012_20260204152223_91.13.BIN,31.44,04/02/2026 15:22
TG012_12093_66629_00546_012_20260204210338_91.13.BIN,19.50,04/02/2026 21:03
TG012_12095_67089_00725_012_20260204180516_91.13.BIN,43.31,04/02/2026 18:05
TG024_24004_66877_00431_024_20260204192410_91.13.BIN,61.53,04/02/2026 19:24
TG024_24011_66289_01393_024_20260204130222_91.13.BIN,39.12,04/02/2026 13:02
TG024_24011_66289_01394_024_20260204130523_91.13.BIN,2.08,04/02/2026 13:07
TG024_24011_66289_01395_024_20260204202800_91.13.BIN,13.36,04/02/2026 20:28
TG024_24016_66266_01139_024_20260204130552_91.13.BIN,42.35,04/02/2026 13:06
TG024_24016_66266_01140_024_20260204204732_91.13.BIN,14.60,04/02/2026 20:47
