Arquivo,Tamanho (KB),Data Modificação
TG012_12086_66729_01205_012_20260219003133_91.13.BIN,23.21,19/02/2026 00:30
TG132_300241_68275_00982_132_20260219000148_91.13.BIN,67.25,19/02/2026 00:02
TG132_300277_67060_01381_132_20260219001554_91.13.BIN,38.13,19/02/2026 00:17
TG012_12086_66729_01206_012_20260219070029_91.13.BIN,2.92,19/02/2026 07:01
TG132_300208_66684_01154_132_20260219055556_91.13.BIN,17.38,19/02/2026 05:56
TG132_300215_66221_01376_132_20260219074037_91.13.BIN,25.91,19/02/2026 07:40
TG132_300218_66567_01116_132_20260219135717_91.13.BIN,22.01,19/02/2026 13:56
TG132_300218_66567_01117_132_20260219140304_91.13.BIN,2.44,19/02/2026 14:04
TG132_300223_66261_00775_132_20260219051737_91.13.BIN,9.73,19/02/2026 05:19
TG132_300224_66377_01151_132_20260219141920_91.13.BIN,52.95,19/02/2026 14:19
TG132_300233_67656_00953_132_20260219051214_91.13.BIN,3.32,19/02/2026 05:12
TG132_300233_67656_00954_132_20260219104255_91.13.BIN,24.27,19/02/2026 10:43
TG132_300233_67656_00955_132_20260219113959_91.13.BIN,2.64,19/02/2026 11:40
TG132_300234_66526_00493_132_20260219070520_91.13.BIN,3.27,19/02/2026 07:05
TG132_300238_66257_01020_132_20260219123842_91.13.BIN,46.31,19/02/2026 12:38
TG132_300258_67015_00870_132_20260219133000_91.13.BIN,30.45,19/02/2026 13:30
TG132_300260_66159_00347_132_20260219075055_91.13.BIN,29.90,19/02/2026 07:51
TG132_300271_66647_01354_132_20260219065221_91.13.BIN,8.28,19/02/2026 06:52
TG132_300273_66673_00983_132_20260219101244_91.13.BIN,15.18,19/02/2026 10:35
TG132_300273_66673_00984_132_20260219102317_91.13.BIN,2.89,19/02/2026 10:35
TG132_300293_66860_00965_132_20260219134651_91.13.BIN,51.57,19/02/2026 13:47
