Arquivo,Tamanho (KB),Data Modificação
TG012_12083_66253_00153_012_20251128001841_91.13.BIN,29.69,28/11/2025 00:21
TG132_300218_66289_01334_132_20251128001656_91.13.BIN,20.51,28/11/2025 00:18
TG132_300283_67632_01245_132_20251128002306_91.13.BIN,51.79,28/11/2025 00:24
TG132_300284_67108_01255_132_20251128002847_91.13.BIN,34.87,28/11/2025 00:31
TG012_12001_67461_01016_012_20251128205006_91.13.BIN,75.06,28/11/2025 20:50
TG012_12002_66221_01292_012_20251128151414_91.13.BIN,45.71,29/11/2025 00:03
TG012_12003_67103_00757_012_20251128181051_91.13.BIN,47.06,28/11/2025 18:10
TG012_12005_66701_01136_012_20251128182345_91.13.BIN,57.71,28/11/2025 18:23
TG012_12080_66877_00340_012_20251128130832_91.13.BIN,60.82,28/11/2025 23:02
TG012_12080_66877_00341_012_20251128230126_91.13.BIN,59.17,28/11/2025 23:02
TG012_12081_66140_00797_012_20251128150612_91.13.BIN,13.85,28/11/2025 15:06
TG012_12083_66253_00154_012_20251128130953_91.13.BIN,41.93,29/11/2025 00:22
TG012_12084_66232_00831_012_20251128142154_91.13.BIN,44.76,28/11/2025 23:43
TG012_12084_66232_00832_012_20251128234246_91.13.BIN,41.29,28/11/2025 23:43
TG012_12086_66729_01095_012_20251128072759_91.13.BIN,16.72,28/11/2025 18:36
TG012_12086_66729_01096_012_20251128183648_91.13.BIN,51.77,28/11/2025 18:36
TG012_12087_66906_01073_012_20251128145401_91.13.BIN,60.42,28/11/2025 14:54
TG012_12088_66176_01009_012_20251128193300_91.13.BIN,58.79,28/11/2025 19:32
TG012_12089_66127_01059_012_20251128194348_91.13.BIN,69.00,28/11/2025 19:43
TG012_12090_66175_00906_012_20251128182125_91.13.BIN,53.32,28/11/2025 18:21
TG012_12091_67010_01153_012_20251128175634_91.13.BIN,87.09,28/11/2025 17:56
TG012_12092_66669_00955_012_20251128133431_91.13.BIN,59.50,28/11/2025 22:28
TG012_12092_66669_00956_012_20251128222628_91.13.BIN,40.20,28/11/2025 22:28
TG024_24004_66763_00660_024_20251128191626_91.13.BIN,53.53,28/11/2025 19:16
TG024_24011_66673_00905_024_20251128123849_91.13.BIN,35.44,28/11/2025 21:53
TG024_24011_66673_00906_024_20251128215205_91.13.BIN,21.57,28/11/2025 21:53
TG024_24016_66266_01044_024_20251128145025_91.13.BIN,41.78,28/11/2025 19:58
TG024_24016_66266_01045_024_20251128195826_91.13.BIN,14.93,28/11/2025 19:58
TG132_300201_67121_01019_132_20251128203806_91.13.BIN,57.31,28/11/2025 20:37
TG132_300202_66109_01155_132_20251128185609_91.13.BIN,95.35,28/11/2025 18:56
TG132_300203_67276_01180_132_20251128193229_91.13.BIN,73.88,28/11/2025 19:32
TG132_300204_66149_01351_132_20251128141327_91.13.BIN,74.06,28/11/2025 20:51
TG132_300204_66149_01352_132_20251128205150_91.13.BIN,28.37,28/11/2025 20:51
TG132_300205_66339_01127_132_20251128174832_91.13.BIN,104.11,28/11/2025 17:48
TG132_300206_66915_01313_132_20251128131904_91.13.BIN,109.49,28/11/2025 20:56
TG132_300206_66915_01314_132_20251128205635_91.13.BIN,64.93,28/11/2025 20:56
TG132_300207_66887_01089_132_20251128193329_91.13.BIN,104.63,28/11/2025 19:33
TG132_300208_66684_01005_132_20251128060928_91.13.BIN,9.42,28/11/2025 06:09
TG132_300208_66684_01006_132_20251128195509_91.13.BIN,73.22,28/11/2025 19:54
TG132_300212_67731_01257_132_20251128143121_91.13.BIN,44.93,28/11/2025 23:44
TG132_300212_67731_01258_132_20251128234312_91.13.BIN,14.55,28/11/2025 23:44
TG132_300213_66895_00833_132_20251128132615_91.13.BIN,37.33,28/11/2025 13:24
TG132_300214_66137_01118_132_20251128124823_91.13.BIN,51.77,28/11/2025 21:00
TG132_300214_66137_01119_132_20251128205945_91.13.BIN,41.39,28/11/2025 21:00
TG132_300214_66137_01120_132_20251128210034_91.13.BIN,1.19,28/11/2025 21:00
TG132_300215_67515_00967_132_20251128131444_91.13.BIN,30.99,28/11/2025 19:28
TG132_300215_67515_00968_132_20251128192838_91.13.BIN,12.42,28/11/2025 19:28
TG132_300216_66773_00845_132_20251128135121_91.13.BIN,70.58,28/11/2025 22:57
TG132_300216_66773_00846_132_20251128225644_91.13.BIN,48.84,28/11/2025 22:57
TG132_300218_66289_01335_132_20251128151526_91.13.BIN,39.37,29/11/2025 00:22
TG132_300219_66700_00983_132_20251128141924_91.13.BIN,27.73,28/11/2025 14:19
TG132_300219_66700_00984_132_20251128190426_91.13.BIN,18.41,28/11/2025 19:04
TG132_300220_66160_00995_132_20251128134528_91.13.BIN,55.44,28/11/2025 23:04
TG132_300220_66160_00996_132_20251128230318_91.13.BIN,33.67,28/11/2025 23:04
TG132_300221_66630_01089_132_20251128181647_91.13.BIN,80.10,28/11/2025 18:36
TG132_300223_66261_00688_132_20251128140549_91.13.BIN,34.36,28/11/2025 14:05
TG132_300225_66903_00259_132_20251128200551_91.13.BIN,40.88,28/11/2025 20:15
TG132_300226_66171_01108_132_20251128142448_91.13.BIN,32.33,28/11/2025 14:26
TG132_300226_66171_01109_132_20251128234018_91.13.BIN,23.16,28/11/2025 23:42
TG132_300227_66861_00688_132_20251128071136_91.13.BIN,7.81,28/11/2025 07:11
TG132_300228_66189_00931_132_20251128134432_91.13.BIN,45.37,28/11/2025 13:44
TG132_300228_66189_00932_132_20251128221554_91.13.BIN,14.64,28/11/2025 22:17
TG132_300229_67002_00950_132_20251128202846_91.13.BIN,72.47,28/11/2025 20:30
TG132_300230_66448_01006_132_20251128131129_91.13.BIN,51.39,28/11/2025 21:09
TG132_300230_66448_01007_132_20251128210917_91.13.BIN,74.29,28/11/2025 21:09
TG132_300231_67039_01109_132_20251128151417_91.13.BIN,68.92,28/11/2025 21:57
TG132_300231_67039_01110_132_20251128215607_91.13.BIN,23.04,28/11/2025 21:57
